from,to,year,relationship,sector,channel,id,season
ec,siebentoechter,zweineunzehn,candidate,tvshow,VOX,ec,
sn,abenteuermexico,zweizweiundzwanzig,host,documentation,ARD,sn,
sg,aboutyou,zweizwanzig,cooperation,advertisement,,sg,
sg,aboutyou,zweineunzehn,cooperation,fashion,,sg,
sg,aboutyou,zweieinundzwanzig,cooperation,fashion,,sg,
sg,aboutyou,zweizweiundzwanzig,cooperation,fashion,,sg,
SH,aboutyou,zweineunzehn,model,advertisement,,SH,
tda,aboutyou,,model,modeling,,tda,
lg,aboutyouaward,zweisiebzehn,host,event,Pro7,lg,eins
lg,aboutyouaward,zweiachtzehn,host,event,Pro7,lg,eins
rm,absoluteMehrheit,zweidreizehn,candidate,tvshow,Pro7,rm,
dc,adidas,zweieinundzwanzig,model,modeling,,dc,sechszehn
mn,adidas,zweielf,model,advertisement,,mn,
HN,adidasxkanyewestshow,zweifuenfzehn,model,modeling,,HN,
HN,adoreme,,model,modeling,,HN,
CB,agnesb,,model,modeling,,CB,
rm,allegegeneinen,zweiachtzehn,host,tvshow,Pro7,rm,
tda,amazon,zweieinundzwanzig,model,modeling,,tda,
cz,animalproject,zweizweiundzwanzig,founder,charity,,cz,
AW,annaunddieliebe,zweiacht,actress,tvshow,Sat1,AW,
AW,annaunddieliebe,zweineun,actress,tvshow,Sat2,AW,
le,annettegoertz,zweisechszehn,model,modeling,,le,
lg,ANTM,zweineun,host,tvshow,Puls4,lg,eins
lg,ANTM,zweizehn,host,tvshow,Puls5,lg,eins
lg,ANTM,zweielf,host,tvshow,Puls6,lg,eins
lg,ANTM,zweizwoelf,host,tvshow,Puls7,lg,eins
HN,apmnyc,,contract,modeling,,HN,
BM,apothekerin,zweidreizehn,actor,movie,,BM,
aa,armani,zweiachtzehn,model,modeling,,aa,
aa,armani,zweiachtzehn,model,advertisement,,aa,
mn,armans,zweifuenfzehn,actor,tvshow,WDR,mn,
BM,armyofthieves,zweieinundzwanzig,actor,movie,,BM,
LH,asos,,model,modeling,,LH,
sg,asphaltgorillas,zweiachtzehn,actor,movie,,sg,
HN,atopmodelinnewyork,zweidreizehn,actor,movie,,HN,
le,ausbildung,zweizwanzig,trainee,,,le,
rm,backstageGNTM,zweizwoelf,host,tvshow,Pro7,rm,
rm,backstageGNTM,zweidreizehn,host,tvshow,Pro7,rm,
jb,backwerk,zweivierzehn,job,food,,jb,
jb,backwerk,zweifuenfzehn,job,food,,jb,
jb,backwerk,zweisechzehn,job,food,,jb,
jb,backwerk,zweisiebzehn,job,food,,jb,
jb,backwerk,zweiachtzehn,job,food,,jb,
jb,backwerk,zweineunzehn,job,food,,jb,
jb,backwerk,zweizwanzig,job,food,,jb,
jb,backwerk,zweieinundzwanzig,job,food,,jb,
jb,backwerk,zweizweiundzwanzig,job,food,,jb,
CB,balmai,,model,modeling,,CB,
lwe,becomealive,zweivierzehn,founder,health,,lwe,
lwe,becomealive,zweifuenfzehn,founder,health,,lwe,
lwe,becomealive,zweisechszehn,founder,health,,lwe,
lwe,becomealive,zweisiebzehn,founder,health,,lwe,
lwe,becomealive,zweiachtzehn,founder,health,,lwe,
lwe,becomealive,zweineunzehn,founder,health,,lwe,
lwe,becomealive,zweizweiundzwanzig,founder,health,,lwe,
lwe,becomealive,zweieinundzwanzig,founder,health,,lwe,
lwe,becomealive,zweizweiundzwanzig,founder,health,,lwe,
dc,behindeblueeyes,zweieinundzwanzig,actor,musicvideo,,dc,sechszehn
lg,Bengio,zweiachtzehn,actor,musicvideo,,lg,eins
CB,bershka,,model,advertisement,,CB,
DM,Betreuungshilfe,,job,health,,DM,
mu,bodylondon,zweizweiundzwanzig,contract,modeling,,mu,
le,bonprix,zweidreizehn,model,modeling,,le,
CB,bree,,model,advertisement,,CB,
le,breuninger,zweisechszehn,model,modeling,,le,
SH,brigitte,zweineunzehn,model,modeling,,SH,
dc,buchstabenBattle,zweieinundzwanzig,candidate,tvshow,RTL,dc,sechszehn
jwr,bullsmgmt,zweieinundzwanzig,contract,modeling,,jwr,
jwr,bullsmgmt,zweizweiundzwanzig,contract,modeling,,jwr,
sn,bundesministerium,zweiachtzehn,ambassador,charity,,sn,
sn,bundesministerium,zweineunzehn,ambassador,charity,,sn,
sn,bundesministerium,zweizwanzig,ambassador,charity,,sn,
sn,bundesministerium,zweieinundzwanzig,ambassador,charity,,sn,
sn,bundesministerium,zweizweiundzwanzig,ambassador,charity,,sn,
sg,butler,zweisechszehn,love,,,sg,
sg,butler,zweisiebzehn,love,,,sg,
sg,butler,zweiachtzehn,love,,,sg,
sg,butler,zweineunzehn,love,,,sg,
sg,butler,zweizwanzig,love,,,sg,
sg,butler,zweieinundzwanzig,love,,,sg,
sg,butler,zweizweiundzwanzig,love,,,sg,
sg,bvlgari,zweieinundzwanzig,model,advertisement,,sg,
rm,bwmcommunications,zweizwoelf,contract,showbusiness,,rm,
rm,bwmcommunications,zweidreizehn,contract,showbusiness,,rm,
rm,bwmcommunications,zweivierzehn,contract,showbusiness,,rm,
rm,bwmcommunications,zweifuenfzehn,contract,showbusiness,,rm,
rm,bwmcommunications,zweisechszehn,contract,showbusiness,,rm,
rm,bwmcommunications,zweisiebzehn,contract,showbusiness,,rm,
rm,bwmcommunications,zweiachtzehn,contract,showbusiness,,rm,
rm,bwmcommunications,zweineunzehn,contract,showbusiness,,rm,
rm,bwmcommunications,zweizwanzig,contract,showbusiness,,rm,
rm,bwmcommunications,zweieinundzwanzig,contract,showbusiness,,rm,
rm,bwmcommunications,zweizweiundzwanzig,contract,showbusiness,,rm,
sg,calvink,zweifuenfzehn,model,advertisement,,sg,
so,calzedonia,zweieinundzwanzig,model,modeling,,so,sechszehn
mvg,campdavid,,model,modeling,,mvg,
HN,campdavidandsoccx,,model,modeling,,HN,
SH,careline,zweiachtzehn,model,advertisement,,SH,
SH,castrofashion,zweiachtzehn,model,advertisement,,SH,
BM,celebrity,zweisieben,model,modeling,,BM,
jds,celiaczerlisnki,,model,modeling,,jds,
sn,chloe,zweiachtzehn,ambassador,advertisement,,sn,
sn,chloe,zweiachtzehn,model,advertisement,,sn,
BM,christineperfektwargestern,zweidreizehn,actor,tvshow,RTL,BM,
aa,citymodels,zweielf,contract,modeling,,aa,
aa,citymodels,zweizwoelf,contract,modeling,,aa,
aa,citymodels,zweidreizehn,contract,modeling,,aa,
aa,citymodels,zweivierzehn,contract,modeling,,aa,
aa,citymodels,zweifuenfzehn,contract,modeling,,aa,
aa,citymodels,zweisechszehn,contract,modeling,,aa,
aa,citymodels,zweisiebzehn,contract,modeling,,aa,
aa,citymodels,zweiachtzehn,contract,modeling,,aa,
aa,citymodels,zweineunzehn,contract,modeling,,aa,
aa,citymodels,zweizwanzig,contract,modeling,,aa,
aa,citymodels,zweieinundzwanzig,contract,modeling,,aa,
aa,citymodels,zweizweiundzwanzig,contract,modeling,,aa,
SAH,cityzeit,zweisiebzehn,model,modeling,,SAH,
HN,cocacola,,ambassador,advertisement,,HN,
HN,cocoon,,model,modeling,,HN,
ak,cosmopolitan,zweizwoelf,model,modeling,,ak,
BM,cosmopolitan,zweiacht,model,modeling,,BM,
CB,cosmopolitan,,model,modeling,,CB,
HN,cosmopolitan,,model,modeling,,HN,
jb,cosmopolitan,zweielf,model,modeling,,jb,
jb,cosmopolitan,zweizwoelf,model,modeling,,jb,
kh,cosmopolitan,zweisechszehn,model,modeling,,kh,
LH,cosmopolitan,zweizwoelf,model,modeling,,LH,
sg,cosmopolitan,zweivierzehn,model,modeling,,sg,
ap,cro,zweisiebzehn,actor,musicvideo,,ap,
ap,cro,zweisiebzehn,love,,,ap,
