from,to,year,relationship,sector,channel
lg,GNTM,2006,candidate,tv show,Pro7
lg,IMGModels,2006,contract,modeling ,
lg,IMGModels,2007,contract,modeling ,
lg,ANTM,2009,host,tv show,Puls4
lg,ANTM,2010,host,tv show,Puls4
lg,ANTM,2011,host,tv show,Puls4
lg,ANTM,2012,host,tv show,Puls4
lg,IMGModels,2008,contract,modeling ,
lg,IMGModels,2009,contract,modeling ,
lg,IMGModels,2010,contract,modeling ,
lg,red,2013,host,tv show,Pro7
lg,supertalent,2013,jury,tv show,RTL
lg,supertalent,2014,jury,tv show,RTL
lg,prankenstein,2015,host,tv show,Pro7
lg,voiceofgermany,2015,host,tv show,Pro7
lg,deutschlandtanzt,2015,host,tv show,Pro7
lg,schlagdenstar,2017,candidate,tv show,Pro7
lg,dasverlorenedorf,2017,voice actor,movie,
lg,dasdingdesjahres,2018,jury,tv show,Pro7
lg,LeGer,2019,founder,fashion,
lg,LeGer,2020,founder,fashion,
lg,LeGer,2021,founder,fashion,
lg,LeGer,2022,founder,fashion,
lg,red,2014,host,tv show,Pro7
lg,supertalent,2014,jury,tv show,RTL
lg,prankenstein,2016,host,tv show,Pro7
lg,voiceofgermany,2016,host,tv show,Pro7
lg,voiceofgermany,2017,host,tv show,Pro7
lg,voiceofgermany,2018,host,tv show,Pro7
lg,voiceofgermany,2019,host,tv show,Pro7
lg,voiceofgermany,2020,host,tv show,Pro7
lg,voiceofgermany,2021,host,tv show,Pro7
lg,dasdingdesjahres,2019,jury,tv show,Pro7
lg,dasdingdesjahres,2020,jury,tv show,Pro7
lg,aboutyouaward,2017,host,event,Pro7
lg,aboutyouaward,2018,host,event,Pro7
lg,thevoicesenior,2018,host,tv show,Sat1
lg,thevoicesenior,2019,host,tv show,Sat1
lg,Bengio,2018,actor,music video,
lg,katjes,2008,ambassador,advertisement,
lg,windowslive,2006,ambassador,advertisement,
lg,ouiset,2006,ambassador,advertisement,
lg,Instagram,2012,influencer,social media,
lg,Instagram,2013,influencer,social media,
lg,Instagram,2014,influencer,social media,
lg,Instagram,2015,influencer,social media,
lg,Instagram,2016,influencer,social media,
lg,Instagram,2017,influencer,social media,
lg,Instagram,2018,influencer,social media,
lg,Instagram,2019,influencer,social media,
lg,Instagram,2020,influencer,social media,
lg,Instagram,2012,influencer,social media,
lg,Instagram,2022,influencer,social media,
lg,TikTok,2020,influencer,social media,
lg,TikTok,2021,influencer,social media,
lg,TikTok,2022,influencer,social media,
lg,khan,2006,love,,
lg,khan,2007,love,,
lg,khan,2008,love,,
lg,khan,2009,love,,
lg,khedira,2011,love,,
lg,khedira,2012,love,,
lg,khedira,2013,love,,
lg,khedira,2014,love,,
lg,khedira,2015,love,,
lg,muellerwohlfahrt,2016,love,,
lg,muellerwohlfahrt,2017,love,,
lg,muellerwohlfahrt,2018,love,,
lg,schoene,2019,love,,
lg,schoene,2020,love,,
lg,schoene,2021,love,,
lg,schoene,2022,love,,
jw,GNTM,2006,candidate,tv show,Pro7
jw,IMGModels,2006,contract,modeling ,
jw,IMGModels,2007,contract,modeling ,
jw,IMGModels,2008,contract,modeling ,
jw,OnlineMusikMagazin,2012,founder,journalism ,
jw,OnlineMusikMagazin,2013,founder,journalism ,
jw,OnlineMusikMagazin,2014,founder,journalism ,
jw,OnlineMusikMagazin,2015,founder,journalism ,
jw,OnlineMusikMagazin,2016,founder,journalism ,
jw,OnlineMusikMagazin,2017,founder,journalism ,
jw,OnlineMusikMagazin,2018,founder,journalism ,
jw,OnlineMusikMagazin,2019,founder,journalism ,
jw,OnlineMusikMagazin,2020,founder,journalism ,
jw,OnlineMusikMagazin,2021,founder,journalism ,
jw,FreiberuflicheJournalistin,2022,job,journalism ,
ys,GNTM,2006,candidate,tv show,Pro7
ys,OneEins,2006,contract,modeling ,
ys,OneEins,2007,contract,modeling ,
ys,OneEins,2008,contract,modeling ,
ys,OneEins,2009,contract,modeling ,
ys,OneEins,2010,contract,modeling ,
ys,OneEins,2011,contract,modeling ,
ys,OneEins,2012,contract,modeling ,
ys,OneEins,2013,contract,modeling ,
ys,OneEins,2014,contract,modeling ,
ys,OneEins,2015,contract,modeling ,
ys,OneEins,2016,contract,modeling ,
ys,OneEins,2017,contract,modeling ,
ys,OneEins,2018,contract,modeling ,
ys,maxdome,2006,ambassador,advertisement,
ys,starsaufeis,2007,candidate,tv show,Pro7
ys,maennerherzen,2009,actor,movie,
ys,modelWG,2010,candidate,tv show,Pro7
ys,modelWG,2011,candidate,tv show,Pro7
ys,verboteneliebe,2013,actor,tv show,ARD
ys,Instagram,2012,influencer,social media,
ys,Instagram,2013,influencer,social media,
ys,Instagram,2014,influencer,social media,
ys,Instagram,2015,influencer,social media,
ys,Instagram,2016,influencer,social media,
ys,Instagram,2017,influencer,social media,
ys,Instagram,2018,influencer,social media,
ys,Instagram,2019,influencer,social media,
ys,Instagram,2020,influencer,social media,
ys,Instagram,2012,influencer,social media,
ys,Instagram,2022,influencer,social media,
ys,TikTok,2020,influencer,social media,
ys,TikTok,2021,influencer,social media,
ys,TikTok,2022,influencer,social media,
ys,kister,2012,love,,
ys,kister,2013,love,,
ys,kister,2014,love,,
ys,kister,2015,love,,
ys,kister,2016,love,,
ys,kister,2017,love,,
ys,kister,2018,love,,
ys,kister,2019,love,,
ys,kister,2020,love,,
ys,kister,2012,love,,
ys,kister,2022,love,,
BM,GNTM,2007,candidate,tv show,Pro7
BM,OneEins,2007,contract,modeling,
BM,Gutereise,2011,actor,movie,
BM,SchreiederVergessenen,2011,actor,movie,Pro7
BM,muenchenschauthin,2012,actor,advertisement ,
BM,derstaatsanwalt,2012,actor,tv show,ZDF
BM,deralte,2012,actor,tv show,ZDF
BM,wiegenlied,2012,actor,movie,
BM,notrufhafenkante,2013,actor,tv show,ZDF
BM,notrufhafenkante,2016,actor,tv show,ZDF
BM,HattingerunddiekalteHand,2013,actor,movie,ZDF
BM,küstenwache,2013,actor,tv show,ZDF
BM,schonwiederhenriette,2013,actor,movie,
BM,christineperfektwargestern,2013,actor,tv show,RTL
BM,apothekerin,2013,actor,movie,
BM,strangers,2013,actor,movie,
BM,sechsaufeinenstreichsiebenschön,2014,actor,movie,ARD
BM,sokostuttgart,2015,actor,tv show,ZDF
BM,schwaegereltern,2015,actor,tv show,ZDF
BM,ricooskarunddasherzgebreche,2015,actor,movie,
BM,heiratenistnichtsfürfeiglinge,2015,actor,movie,ZDF
BM,soko5113,2015,actor,tv show,ZDF
BM,sokowismar,2016,actor,tv show,ZDF
BM,Mordinbestergesellschaftwintersletzterfall,2017,actor,tv show,ARD
BM,oskargehenwennsamschönstenist,2018,actor,movie,
BM,theaspernpapers,2018,actor,movie,
BM,Reiterhofwildensteindiepferdeflüsterin,2019,actor,tv show,ZDF
BM,endlessnachrichtvonchris,2020,actor,movie,
BM,armyofthieves,2021,actor,movie,
BM,deronkelthehawk,2022,actor,movie,
BM,wolkeuntermdach,2022,actor,movie,
BM,Diegeschichtedermenschheitleichtgekürzt,2022,actor,movie,
BM,schaechten,2022,actor,movie,
BM,disneylandparis,2008,ambassador,advertisement,
BM,mcdonalds,2007,ambassador,advertisement,
BM,panteneprov,2007,ambassador,advertisement,
BM,cunda,2007,ambassador,advertisement,
BM,letsdance,2018,candidate,tv show,RTL
BM,schaebens,2016,ambassador,advertisement,
BM,Fashionweek_Paris,2010,model,modeling,
BM,Fashionweek_Berlin,2011,model,modeling,
BM,jahrdermathematik,2008,ambassador,advertisement,
BM,deutschemuseen,2012,ambassador,advertisement,
BM,wwf,2015,ambassador,advertisement,
BM,style,2008,model,modeling,
BM,tango,2008,model,modeling,
BM,hochzeit,2009,model,modeling,
BM,plazawatch,2010,model,modeling,
BM,semperey,2011,model,modeling,
BM,celebrity,2007,model,modeling,
BM,lofficiel,2008,model,modeling,
BM,style,2008,model,modeling,
BM,tango,2008,model,modeling,
BM,sposabella,2008,model,modeling,
BM,cosmopolitan,2008,model,modeling,
BM,marieclaire,2009,model,modeling,
BM,instyle,2010,model,modeling,
BM,readytowear,2007,model,modeling,
BM,readytowear,2008,model,modeling,
BM,readytowear,2008,model,modeling,
BM,readytowear,2009,model,modeling,
BM,readytowear,2010,model,modeling,
BM,readytowear,2011,model,modeling,
BM,readytowear,2012,model,modeling,
BM,deinwegzumgluecksgewicht,2015,author,literature,
BM,yogurette,2008,ambassador,advertisement,
BM,lidl,2021,ambassador,advertisement,
BM,majormodelmanagementnewyork,,contract,modeling,
BM,elitemodels,,contract,modeling,
BM,yulimodels,,contract,modeling,
BM,fashioncultmodelmanagement,,contract,modeling,
BM,IMGModels,,contract,modeling,
BM,mpmanagement,,contract,modeling,
BM,majormodelmanagementmilan,,contract,modeling,
BM,majormodelmanagementmunich,,contract,modeling,
BM,Hallmann,2016,love,,
BM,Hallmann,2017,love,,
BM,Hallmann,2018,love,,
BM,Hallmann,2019,love,,
BM,Hallmann,2020,love,,
BM,Hallmann,2021,love,,
BM,Hallmann,2022,love,,
BM,Instagram,2013,influencer,social media,
BM,Instagram,2014,influencer,social media,
BM,Instagram,2015,influencer,social media,
BM,Instagram,2016,influencer,social media,
BM,Instagram,2017,influencer,social media,
BM,Instagram,2018,influencer,social media,
BM,Instagram,2019,influencer,social media,
BM,Instagram,2020,influencer,social media,
BM,Instagram,2021,influencer,social media,
BM,Instagram,2022,influencer,social media,
AW,GNTM,2007,candidate,tv show,Pro7
AW,h3halloweenhorrorhostel,2007,actor,movie,
AW,quiztaxi,2007,candidate,tv show,KabelEins
AW,thenexturigeller,2008,candidate,tv show,Pro7
AW,annaunddieliebe,2008,actress,tv show,Sat1
AW,annaunddieliebe,2009,actress,tv show,Sat2
AW,dasperfektepromidinner,2009,candidate,tv show,VOX
AW,diemodelwg,2009,candidate,tv show,Puls4
AW,maennerherzen,2009,actor,movie,
AW,karllagerfeld,,model,modeling,
AW,Erikahendrixkampagne,2008,model,modeling,
AW,hallhuberkampagne,2008,model,modeling,
AW,maxfactorkampagne,2009,model,modeling,
AW,julesmumm,2007,model,advertisement,
AW,russellhobbshaarstylingprodukte,2007,model,advertisement,
AW,starforcekampagne,2007,model,advertisement,Pro7
AW,welovewinterkampagne,2007,model,advertisement,Pro7
AW,hallhuberkampagne,2007,model,advertisement,
AW,zahntechnikerin,2013,employee,medicin,
HN,GNTM,2007,candidate,tv show,Pro7
HN,extremeactivity,2007,candidate,tv show,Pro7
HN,maennerherzen,2009,actor,movie,
HN,modelsinthecity,2012,actor,tv show,
HN,atopmodelinnewyork,2013,actor,movie,
HN,promishoopingqueen,2017,candidate,tv show,VOX
HN,schwarzkopf,,ambassador,advertisement,
HN,tommyhilfiger,,ambassador,advertisement,
HN,esprit,,ambassador,advertisement,
HN,lordundtaylor,,ambassador,advertisement,
HN,loreal,,ambassador,advertisement,
HN,cocacola,,ambassador,advertisement,
HN,valisere,,ambassador,advertisement,
HN,karstadt,,ambassador,advertisement,
HN,opel,,ambassador,advertisement,
HN,isadoramascara,,ambassador,advertisement,
HN,repeatcashmere,,ambassador,advertisement,
HN,peta,,ambassador,advertisement,
HN,mango,,ambassador,advertisement,
HN,fhmfrance,,model,modeling,
HN,cocoon,,model,modeling,
HN,maximgermany,,model,modeling,
HN,southafrica,,model,modeling,
HN,elle,,model,modeling,
HN,esquire,,model,modeling,
HN,cosmopolitan,,model,modeling,
HN,marieclaire,,model,modeling,
HN,gq,,model,modeling,
HN,style,,model,modeling,
HN,harpersbazaar,2007,model,modeling,
HN,Fashionweek_Newyork,2015,model,modeling,
HN,adidasxkanyewestshow,2015,model,modeling,
HN,russellsimmomsargyleCulture,,model,modeling,
HN,adoreme,,model,modeling,
HN,talbotundrunhof,,model,modeling,
HN,unrathundstrano,,model,modeling,
HN,campdavidandsoccx,,model,modeling,
HN,guidomariakretschmar,,model,modeling,
HN,lenahoschek,,model,modeling,
HN,IMGModels,,contract,modeling,
HN,modelwerkhamburg,,contract,modeling,
HN,apmnyc,,contract,modeling,
HN,Ittakes2,2017,candidate,tv show,RTL
HN,Instagram,2015,influencer,social media,
