from,to,year,relationship,sector,channel
ec,siebentoechter,zweineunzehn,candidate,tvshow,VOX
sn,abenteuermexico,zweizweiundzwanzig,host,documentation,ARD
sg,aboutyou,zweizwanzig,cooperation,advertisement,
sg,aboutyou,zweineunzehn,cooperation,fashion,
sg,aboutyou,zweieinundzwanzig,cooperation,fashion,
sg,aboutyou,zweizweiundzwanzig,cooperation,fashion,
SH,aboutyou,zweineunzehn,model,advertisement,
tda,aboutyou,,model,modeling,
lg,aboutyouaward,zweisiebzehn,host,event,Pro7
lg,aboutyouaward,zweiachtzehn,host,event,Pro7
rm,absoluteMehrheit,zweidreizehn,candidate,tvshow,Pro7
dc,adidas,zweieinundzwanzig,model,modeling,
mn,adidas,zweielf,model,advertisement,
HN,adidasxkanyewestshow,zweifuenfzehn,model,modeling,
HN,adoreme,,model,modeling,
CB,agnesb,,model,modeling,
rm,allegegeneinen,zweiachtzehn,host,tvshow,Pro7
tda,amazon,zweieinundzwanzig,model,modeling,
cz,animalproject,zweizweiundzwanzig,founder,charity,
AW,annaunddieliebe,zweiacht,actress,tvshow,Sat1
AW,annaunddieliebe,zweineun,actress,tvshow,Sat2
le,annettegoertz,zweisechszehn,model,modeling,
lg,ANTM,zweineun,host,tvshow,Puls4
lg,ANTM,zweizehn,host,tvshow,Puls5
lg,ANTM,zweielf,host,tvshow,Puls6
lg,ANTM,zweizwoelf,host,tvshow,Puls7
HN,apmnyc,,contract,modeling,
BM,apothekerin,zweidreizehn,actor,movie,
aa,armani,zweiachtzehn,model,modeling,
aa,armani,zweiachtzehn,model,advertisement,
mn,armans,zweifuenfzehn,actor,tvshow,WDR
BM,armyofthieves,zweieinundzwanzig,actor,movie,
LH,asos,,model,modeling,
sg,asphaltgorillas,zweiachtzehn,actor,movie,
HN,atopmodelinnewyork,zweidreizehn,actor,movie,
le,ausbildung,zweizwanzig,trainee,,
rm,backstageGNTM,zweizwoelf,host,tvshow,Pro7
rm,backstageGNTM,zweidreizehn,host,tvshow,Pro7
jb,backwerk,zweivierzehn,job,food,
jb,backwerk,zweifuenfzehn,job,food,
jb,backwerk,zweisechzehn,job,food,
jb,backwerk,zweisiebzehn,job,food,
jb,backwerk,zweiachtzehn,job,food,
jb,backwerk,zweineunzehn,job,food,
jb,backwerk,zweizwanzig,job,food,
jb,backwerk,zweieinundzwanzig,job,food,
jb,backwerk,zweizweiundzwanzig,job,food,
CB,balmai,,model,modeling,
lwe,becomealive,zweivierzehn,founder,health,
lwe,becomealive,zweifuenfzehn,founder,health,
lwe,becomealive,zweisechszehn,founder,health,
lwe,becomealive,zweisiebzehn,founder,health,
lwe,becomealive,zweiachtzehn,founder,health,
lwe,becomealive,zweineunzehn,founder,health,
lwe,becomealive,zweizweiundzwanzig,founder,health,
lwe,becomealive,zweieinundzwanzig,founder,health,
lwe,becomealive,zweizweiundzwanzig,founder,health,
dc,behindeblueeyes,zweieinundzwanzig,actor,musicvideo,
